"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2014,"Biblioteca","Parets i mitgeres","BIBL","Plaça Trinitat (Biblioteca Trinitat Vella). Mitgera","Carrer de Galícia, 16","41.449263502921525","2.190719206732615","09","Sant Andreu","57","la Trinitat Vella","8.4",8400,4,3024,"Autoconsum amb bateries"
2014,"Mitgera","Parets i mitgeres","OFELPL","El Jardí del Sol/Mitgera Arxiu Municipal de Barcelona","Carrer de la Ciutat de Granada, 106","41.40110652328154","2.1949296328558185","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","19.98",19980,9,7193,"Autoconsum amb bateries"
2013,"Mitgera","Parets i mitgeres",,"Mitgera de Pere IV","Carrer de Pere IV, 79","41.39754139377984","2.193056013402681","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","9.66",9660,4,3478,"Autoconsum amb bateries"
2013,"Altres equipaments","Coberta ","CSS","Centre de Serveis Socials Raval Sud","Carrer Carme,  101-109","41.38003383621037","2.1665286115458353","01","Ciutat Vella","01","el Raval","17.28",21600,9,7776,"Autoconsum"
2013,"Equipament cultural","Parets i mitgeres",,"El Jardinet del Pedró/ Mitgera Teatre del Raval","Carrer de Sant Antoni Abat, 12","41.37950238734473","2.1649542961993427","01","Ciutat Vella","01","el Raval","0.5",625,0,225,"Autoconsum amb bateries"
2013,"Casal","Coberta ","CL&CC","Palau Alòs","Carrer Sant Pere més baix, 55","41.38837721245379","2.178473240382695","01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","30.24",37800,16,13608,"Connexió a xarxa"
2013,"Seu del districte","Coberta ","OFELED","Seu del districte de Gràcia","Carrer Francesc Giner, 51","41.400064274838925","2.1583262999126185","06","Gràcia ","31","la Vila de Gràcia","2.88",3600,2,1296,"Autoconsum"
2013,"Seu del districte","Coberta ","OFPL","Seu del districte d'Horta-Guinardó","Ronda Guinardó, 49","41.41317959560066","2.1664497403834817","07","Horta-Guinardó ","33","el Baix Guinardó","16.5",20625,9,7425,"Autoconsum"
2011,"Educació","Parets i mitgeres","AFA","Escola Bressol Galatea","Avinguda de Vallcarca, 229","41.419415751237395","2.140669811547031","06","Gràcia ","03","la Barceloneta","23.4",23400,10,8424,"Autoconsum"
2010,"Altres equipaments","Parets i mitgeres","CEAMB","La Fàbrica del Sol","Passeig de Salvat Papasseit, 1","41.38238457958918","2.1918469268923606","01","Ciutat Vella","03","la Barceloneta",5,5000,2,1800,"Autoconsum"
2010,"Educació","Coberta ","ESC","CEIP Gaudí","Carrer Artesania,  81-83","41.446744788201265","2.171286898057751","08","Nou Barris","50","les Roquetes","24.3",30375,13,10935,"Connexió a xarxa"
2009,"Biblioteca","Coberta ","BIBL","Biblioteca Joan Miró","Carrer de Vilamarí, 61","41.3786803400638","2.149261840382399","02","Eixample ","09","la Nova Esquerra de l'Eixample","6.6",8250,4,2970,"Connexió a xarxa"
2008,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Parc del Fòrum","Parc del Fòrum","41.411564408203354","2.228224661298827","10","Sant Martí","0","Fora de Barcelona",449,,244,202050,"Connexió a xarxa"
2008,"Casal","Parets i mitgeres",,"Centre Osi","Carrer Gran de Gràcia,  190-192","41.40331113771597","2.1523247049238345","06","Gràcia ","31","la Vila de Gràcia","12.48",12480,5,4493,"Connexió a xarxa"
2008,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola de Bon Pastor","Carrer de l'Avançada, 1","41.436820297576276","2.2089353001915093","09","Sant Andreu","59","el Bon Pastor","107.8",134750,59,48510,"Connexió a xarxa"
2008,"Centre cívic","Coberta ",,"Masia de Can cadena","Carrer Menorca,  11-23","41.4186605985545","2.195306113403322","10","Sant Martí","72","Sant Martí de Provençals","8.37","10462.5",5,3767,"Connexió a xarxa"
2008,"Educació","Coberta ","AFA","Escola Adults Barceloneta","Carrer Balboa, 11","41.382469529331125","2.1882758980557218","01","Ciutat Vella","03","la Barceloneta","7.68",9600,4,3456,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","CL&CC","Centre Cultural Casa Elizalde","Carrer València, 302","41.39463054016919","2.1658400980561088","02","Eixample ","07","la Dreta de l'Eixample","4.8",6000,3,2160,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","CL&CC","Centre Cívic Anníbal","Carrer Anníbal,  4-6","41.37190580276498","2.16242485572862","03","Sants-Montjuic ","11","el Poble-sec","11.16",13950,6,5022,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","CL&CC","Centre Cívic El Sortidor","Plaça del Sortidor, 12","41.37225770962473","2.162433280852644","03","Sants-Montjuic ","11","el Poble-sec","6.2",7750,3,2790,"Connexió a xarxa"
2008,"Biblioteca","Parets i mitgeres","BIBL","Biblioteca Francesc Candel. Façana","Carrer de l'Amnistia Internacional, 10","41.36165027302737","2.136119798055066","03","Sants-Montjuic ","13","la Marina de Port","25.2",25200,11,9072,"Connexió a xarxa"
2008,"Biblioteca","Coberta ","BIBL","Biblioteca Vapor Vell","Passatge del Vapor Vell s/n","41.376962694260754","2.134963455728788","03","Sants-Montjuic ","18","Sants","12.42",15525,7,5589,"Connexió a xarxa"
2008,"Seu del districte","Coberta ","OFELED","Seu del districte de Les Corts","Plaça Comas, 18","41.38588437078912","2.129733682709376","04","Les Corts","19","les Corts","2.88",3600,2,1296,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","BIBL","Centre Cívic Vázquez Montalbán","Reis Catòlics,  16-34","41.41538711399405","2.1028800980567754","05","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","22.68",28350,12,10206,"Connexió a xarxa"
2008,"Educació","Parets i mitgeres","EBM","Escola Bressol Sant Medir. Façana","Carrer de Santa Rosa, 7","41.403431127334706","2.152900382709921","06","Gràcia ","31","la Vila de Gràcia","6.08",6080,3,2189,"Connexió a xarxa"
2008,"Oficines","Coberta ","OFELED","Edifici SUMA","Carrer Torrent de l'Olla,  218-220","41.40643487285346","2.152611653873426","06","Gràcia ","31","la Vila de Gràcia","5.25","6562.5",3,2363,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","CL&CC","Centre Cívic Carmel","Carrer Santuaris, 27","41.420458521070195","2.1510668673640216","07","Horta-Guinardó ","37","el Carmel","7.7",9625,4,3465,"Connexió a xarxa"
2008,"Casal","Coberta ","CL&CC","Casal Gent Gran Vall d'Hebron","Carrer Arquitecte Moragas, 5","41.43248188010633","2.146981198057309","07","Horta-Guinardó ","41","la Vall d'Hebron","13.44",16800,7,6048,"Connexió a xarxa"
2008,"Biblioteca","Coberta ","BIBL","Biblioteca Les Roquetes","Via Favència, 288","41.44522249707485","2.176776455730966","08","Nou Barris","51","Verdun","13.8",17250,8,6210,"Connexió a xarxa"
2008,"Casal","Coberta ","CL&CC","Casal de Gent Gran Navas","Carrer Capella s/n","41.41873773246718","2.1816806559116975","09","Sant Andreu","63","Navas","6.2",7750,3,2790,"Connexió a xarxa"
2008,"Centre cívic","Coberta ","CL&CC","Centre Cívic Sandaru","Carrer Nàpols, 22","41.39156051232902","2.184962028748957","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","17.64",22050,10,7938,"Connexió a xarxa"
2006,"Biblioteca","Coberta ","BIBL","Biblioteca Juan Marsé","Carrer Murtra,  135-145","41.42120219288677","2.1550568557302046","07","Horta-Guinardó ","37","el Carmel","5.4",6750,3,2430,"Connexió a xarxa"
2004,"Mitgera","Parets i mitgeres","CL&CC","Fustes Gilabert (Padilla 210)","Carrer Padilla, 210","41.404155183574126","2.1795383115465587","07","Horta-Guinardó ","06","la Sagrada Família",2,2000,1,720,"Connexió a xarxa"
2003,"Educació","Coberta ","IES","Institut FP Narcís Monturiol","Passeig Salvat Papasseït s/n","41.381052513451756","2.1916999904680745","01","Ciutat Vella","03","la Barceloneta","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Educació","Coberta ","EECOM","IES M. Bosc de Montjuïc","Avinguda Miramar, 9","41.369353666614856","2.161529484565175","03","Sants-Montjuic ","11","el Poble-sec","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Educació","Coberta ","IES","IES M. Serrat i Bonastre","Carrer Marquès de Santa Anna, 4","41.406764919077","2.1480250096903544","05","Sarrià-Sant Gervasi","27","el Putxet i el Farró","2.88",3600,2,1296,"Connexió a xarxa"
2003,"Educació","Coberta ","ESC","CEIP M. Escola del Mar","Carrer Gènova, 12","41.41809745421565","2.1701071827104","07","Horta-Guinardó ","35","el Guinardó","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Educació","Coberta ","IES","IES M. Ferran Tallada","Carrer Gran Vista, 54","41.42064543192518","2.163458184566796","07","Horta-Guinardó ","37","el Carmel","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Educació","Coberta ","IES","IES Anna Gironella de Mundet","Carrer d'Olympe de Gouges, s/n","41.43706631584352","2.1435362137049605","07","Horta-Guinardó ","40","Montbau","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Biblioteca","Parets i mitgeres","CL&CC","Biblioteca Ignasi Iglesias – Can Fabra. Façana","Carrer del Segre,  22-32","41.43530234413453","2.1914820827109573","09","Sant Andreu","60","Sant Andreu","4.4",4400,2,1584,"Connexió a xarxa"
2003,"Educació","Coberta ","CEE","CEE M. Pont del Dragó","Carrer Sagrera, 179","41.427243001737196","2.1907433268937586","09","Sant Andreu","61","la Sagrera","4.8",6000,3,2160,"Connexió a xarxa"
2003,"Educació","Coberta ","IES","IES M. Joan Manuel Zafra","Carrer Rogent, 51","41.41028215006382","2.1828325962003086","10","Sant Martí","64","el Camp de l'Arpa del Clot","4.8",6000,3,2160,"Connexió a xarxa"
2002,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola de Vallbona","Carrer Castelladral, 6-10","41.465160742776014","2.1862979774320945","08","Nou Barris","56","Vallbona","50.7",63375,28,22815,"Connexió a xarxa"
2002,"Educació","Coberta ","IES","CEIP Costa i Llobera","Carrer Capella Can Caralleu, 3","41.40211617332549","2.1089311980563696","05","Sarrià-Sant Gervasi","23","Sarrià","4.8",6000,3,2160,"Connexió a xarxa"
2002,"Educació","Coberta ","ESC","CEIP Tàber","Carrer Esports, 9","41.401224466632584","2.112299569219718","05","Sarrià-Sant Gervasi","23","Sarrià","30.085","37606.25",16,13538,"Connexió a xarxa"
2002,"Educació","Coberta ","ESC","CEIP Font d'en Fargas","Passeig Font d'en Fargues, 65","41.42279687935816","2.165784055730254","07","Horta-Guinardó ","36","la Font d'en Fargues","4.8",6000,3,2160,"Connexió a xarxa"
2000,"Oficines","Coberta ","OFED","Edifici Nou i Novíssim","Plaça Sant Miquel, 1","41.38238422947529","2.1768469673628017","01","Ciutat Vella","02","el Barri Gòtic","85.21","106512.5",46,38345,"Connexió a xarxa"
